,full_rating,full_score,rank,title,url,series,series_no,avg_rating,rating_count,total_score,score_votes
76, 4.46 avg rating — 256 ratings,"
score: 1,687,
              and
18 people voted
               
              
            ",77,"Evil Among Us (Species Intervention #6609, #5)",/book/show/17936909-evil-among-us,Species Intervention #6609,5,4.46, 256,"1,687",18
77, 4.18 avg rating — 748 ratings,"
score: 1,684,
              and
18 people voted
               
              
            ",78,"Vertigo (Aurora Rhapsody, #2)",/book/show/23150535-vertigo,Aurora Rhapsody,2,4.18, 748,"1,684",18
78," 4.05 avg rating — 10,873 ratings","
score: 1,683,
              and
24 people voted
               
              
            ",79,"CryoBurn (Vorkosigan Saga, #14)",/book/show/7841670-cryoburn,Vorkosigan Saga,14,4.05," 10,873","1,683",24
79," 4.32 avg rating — 3,203 ratings","
score: 1,575,
              and
19 people voted
               
              
            ",80,"Seed to Harvest (Patternmaster, #1-4)",/book/show/60924.Seed_to_Harvest,Patternmaster,1-4,4.32," 3,203","1,575",19
80, 4.48 avg rating — 244 ratings,"
score: 1,565,
              and
17 people voted
               
              
            ",81,"The One (Species Intervention #6609, #6)",/book/show/18044158-the-one,Species Intervention #6609,6,4.48, 244,"1,565",17
81," 3.88 avg rating — 5,588 ratings","
score: 1,564,
              and
19 people voted
               
              
            ",82,"Darkover Landfall (Darkover, #1)",/book/show/673158.Darkover_Landfall,Darkover,1,3.88," 5,588","1,564",19
82, 4.19 avg rating — 367 ratings,"
score: 1,559,
              and
17 people voted
               
              
            ",83,"Echo (Species Intervention #6609, #2)",/book/show/15992880-echo,Species Intervention #6609,2,4.19, 367,"1,559",17
83, 4.28 avg rating — 93 ratings,"
score: 1,495,
              and
16 people voted
               
              
            ",84,"Hannah's Stolen Men (The Men of Space Station One, #10)",/book/show/21409707-hannah-s-stolen-men,The Men of Space Station One,10,4.28, 93,"1,495",16
84," 3.99 avg rating — 366,089 ratings","
score: 1,461,
              and
16 people voted
               
              
            ",85,"Delirium (Delirium, #1)",/book/show/11614718-delirium,Delirium,1,3.99," 366,089","1,461",16
85, 4.91 avg rating — 56 ratings,"
score: 1,458,
              and
16 people voted
               
              
            ",86,"A Forgotten Kitten (Sea-anan Saga, #2)",/book/show/17878961-a-forgotten-kitten,Sea-anan Saga,2,4.91, 56,"1,458",16
86, 3.86 avg rating — 134 ratings,"
score: 1,455,
              and
16 people voted
               
              
            ",87,"The Ranchers' Bride (The Men of Space Station One, #2)",/book/show/13376014-the-ranchers-bride,The Men of Space Station One,2,3.86, 134,"1,455",16
87," 4.04 avg rating — 3,160 ratings","
score: 1,420,
              and
18 people voted
               
              
            ",88,Remnant Population,/book/show/96284.Remnant_Population,,,4.04," 3,160","1,420",18
88," 4.01 avg rating — 4,504 ratings","
score: 1,380,
              and
15 people voted
               
              
            ",89,The V Girl,/book/show/25437891-the-v-girl,,,4.01," 4,504","1,380",15
89," 3.91 avg rating — 9,782 ratings","
score: 1,323,
              and
18 people voted
               
              
            ",90,The Word for World is Forest,/book/show/276767.The_Word_for_World_is_Forest,,,3.91," 9,782","1,323",18
90," 3.74 avg rating — 11,925 ratings","
score: 1,316,
              and
15 people voted
               
              
            ",91,"Grimspace (Sirantha Jax, #1)",/book/show/1828067.Grimspace,Sirantha Jax,1,3.74," 11,925","1,316",15
91," 4.03 avg rating — 3,338 ratings","
score: 1,301,
              and
16 people voted
               
              
            ",92,The Wind's Twelve Quarters,/book/show/77289.The_Wind_s_Twelve_Quarters,,,4.03," 3,338","1,301",16
92," 4.05 avg rating — 57,864 ratings","
score: 1,285,
              and
16 people voted
               
              
            ",93,"His Majesty's Dragon (Temeraire, #1)",/book/show/28876.His_Majesty_s_Dragon,Temeraire,1,4.05," 57,864","1,285",16
93, 3.82 avg rating — 116 ratings,"
score: 1,278,
              and
14 people voted
               
              
            ",94,"The Carpenters' Helper (The Men of Space Station One, #5)",/book/show/13518942-the-carpenters-helper,The Men of Space Station One,5,3.82, 116,"1,278",14
94," 4.19 avg rating — 3,328 ratings","
score: 1,240,
              and
16 people voted
               
              
            ",95,"Inheritor (Foreigner, #3)",/book/show/57015.Inheritor,Foreigner,3,4.19," 3,328","1,240",16
95," 4.17 avg rating — 3,717 ratings","
score: 1,197,
              and
16 people voted
               
              
            ",96,"Invader (Foreigner, #2)",/book/show/57014.Invader,Foreigner,2,4.17," 3,717","1,197",16
96," 3.78 avg rating — 103,428 ratings","
score: 1,174,
              and
13 people voted
               
              
            ",97,"Across the Universe (Across the Universe, #1)",/book/show/8235178-across-the-universe,Across the Universe,1,3.78," 103,428","1,174",13
97, 4.16 avg rating — 97 ratings,"
score: 1,170,
              and
13 people voted
               
              
            ",98,"A Lost Kitten (Sea-anan Saga, #1)",/book/show/16029924-a-lost-kitten,Sea-anan Saga,1,4.16, 97,"1,170",13
98, 3.85 avg rating — 111 ratings,"
score: 1,169,
              and
13 people voted
               
              
            ",99,"Love Between the Hired Hands (The Men of Space Station One, #4)",/book/show/13482469-love-between-the-hired-hands,The Men of Space Station One,4,3.85, 111,"1,169",13
99," 3.83 avg rating — 3,244 ratings","
score: 1,155,
              and
16 people voted
               
              
            ",100,Ammonite,/book/show/180270.Ammonite,,,3.83," 3,244","1,155",16
